Sentencing County,Offense Type,Sentence Years,Sentence Months
Cook,Person Crimes,0006,000
Cook,Person Crimes,0006,000
Lawrence,Other Crimes,0002,000
Kankakee,Person Crimes,0003,000
Cook,Person Crimes,0001,000
Lake,Property Crimes,0002,000
Sangamon,Sex Crimes,0009,000
Franklin,Drug Crimes,0004,000
Winnebago,Person Crimes,0004,000
St. Clair,Drug Crimes,0006,000
Winnebago,Property Crimes,0001,006
Cook,Person Crimes,0010,000
Cook,Person Crimes,0001,000
Madison,Drug Crimes,0004,000
Cook,Person Crimes,0005,000
Cook,Person Crimes,0001,000
Union,Property Crimes,0005,000
Montgomery,Property Crimes,0000,014
Dupage,Property Crimes,0003,000
Crawford,Drug Crimes,0010,000
Clay,Person Crimes,0000,057
Johnson,Person Crimes,0004,000
Peoria,Person Crimes,0003,006
McLean,Drug Crimes,0002,000
Winnebago,Person Crimes,0003,004
Cook,Person Crimes,0000,030
Lasalle,Person Crimes,0004,000
Cook,Person Crimes,0003,000
Christian,Other Crimes,0001,000
Shelby,Person Crimes,0006,000
St. Clair,Drug Crimes,0004,000
Cook,Person Crimes,0010,000
Pike,Property Crimes,0000,018
Massac,Person Crimes,0003,000
Cook,Person Crimes,0003,000
Madison,Person Crimes,0003,000
Lake,Person Crimes,0000,033
Cook,Person Crimes,0030,000
Cook,Person Crimes,0000,042
Madison,Person Crimes,0004,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0008,000
Macon,Person Crimes,0004,000
Sangamon,Sex Crimes,0006,006
Dupage,Drug Crimes,0003,006
Cook,Person Crimes,0000,018
Cook,Person Crimes,0003,000
Cook,Property Crimes,0004,006
Cook,Property Crimes,0003,000
McLean,Property Crimes,0002,000
Cook,Person Crimes,0060,000
Cook,Property Crimes,0001,000
Cook,Person Crimes,0001,000
Lake,Person Crimes,0000,018
Cook,Property Crimes,0003,000
Macoupin,Drug Crimes,0002,000
Cook,Person Crimes,0005,000
Cook,Sex Crimes,0006,000
Cook,Person Crimes,0005,000
Cook,Drug Crimes,0002,000
Cook,Person Crimes,0005,000
Dupage,Drug Crimes,0007,000
Mercer,Sex Crimes,0009,000
Dupage,Drug Crimes,0003,000
Cook,Drug Crimes,0001,000
Shelby,Property Crimes,0002,000
White,Drug Crimes,0006,000
Cook,Person Crimes,0008,000
Cook,Person Crimes,0001,000
