Sentencing County,Offense Type,Sentence Years,Sentence Months
Cook,Person Crimes,0000,018
Cook,Person Crimes,0005,000
Montgomery,Drug Crimes,0005,000
Rock Island,Drug Crimes,0007,000
Madison,Person Crimes,0004,000
Macon,Property Crimes,0007,000
Cook,Person Crimes,0006,000
Cook,Property Crimes,0004,000
Cook,Person Crimes,0003,000
Kane,Person Crimes,0003,000
Cook,Person Crimes,0005,000
Christian,Property Crimes,0004,000
Kane,Property Crimes,0003,000
Vermilion,Property Crimes,0006,000
Cook,Person Crimes,0015,000
Winnebago,Person Crimes,0003,000
Madison,Drug Crimes,0004,000
Bond,Person Crimes,0004,000
Cook,Property Crimes,0003,000
Tazewell,Person Crimes,0002,006
Macon,Sex Crimes,0006,000
Jersey,Person Crimes,0002,000
Tazewell,Property Crimes,0003,002
Peoria,Person Crimes,0022,000
Cook,Property Crimes,0003,000
Cook,Property Crimes,0003,006
Madison,Sex Crimes,0002,000
Cook,Property Crimes,0005,000
Madison,Property Crimes,0003,000
Dupage,Property Crimes,0002,000
Cook,Person Crimes,0004,000
Cook,Person Crimes,0001,000
Peoria,Person Crimes,0008,000
Vermilion,Person Crimes,0006,006
Cook,Person Crimes,0003,000
McLean,Person Crimes,0027,000
Cook,Person Crimes,0001,000
Champaign,Person Crimes,0004,000
Marion,Person Crimes,0003,000
St. Clair,Person Crimes,0021,000
Macon,Drug Crimes,0002,000
Rock Island,Property Crimes,0008,000
Cook,Person Crimes,0003,000
Fayette,Drug Crimes,0006,000
Madison,Person Crimes,0003,000
Adams,Person Crimes,0004,000
Lee,Property Crimes,0005,000
Cook,Person Crimes,0005,000
Boone,Sex Crimes,0002,000
Fayette,Drug Crimes,0003,000
Cook,Person Crimes,0010,000
Henry,Person Crimes,0004,000
Massac,Sex Crimes,0000,018
Sangamon,Property Crimes,0008,000
Kane,Person Crimes,0006,000
Cook,Person Crimes,0006,000
Dupage,Property Crimes,0004,000
Cook,Property Crimes,0003,000
Franklin,Drug Crimes,0007,000
McHenry,Property Crimes,0010,000
McHenry,Person Crimes,0003,000
Macon,Sex Crimes,0003,006
Cook,Person Crimes,0001,000
Cook,Person Crimes,0001,000
McLean,Person Crimes,0005,000
Cook,Person Crimes,0022,000
Kane,Property Crimes,0000,018
Dupage,Drug Crimes,0010,000
Shelby,Drug Crimes,0007,006
St. Clair,Person Crimes,0006,000
Cook,Person Crimes,0007,000
Dupage,Property Crimes,0006,000
Madison,Sex Crimes,0003,000
Scott,Drug Crimes,0015,000
Cook,Person Crimes,0005,000
Cook,Other Crimes,0002,000
Cook,Person Crimes,0004,000
Montgomery,Drug Crimes,0004,000
Kane,Sex Crimes,0012,000
Effingham,Sex Crimes,0003,000
Cook,Property Crimes,0001,000
Cook,Property Crimes,0004,006
Edgar,Person Crimes,0005,000
Cook,Person Crimes,0022,000
Randolph,Drug Crimes,0006,000
Cook,Person Crimes,0001,000
Cook,Person Crimes,0003,000
St. Clair,Drug Crimes,0003,000
Lee,Person Crimes,0003,000
Clinton,Property Crimes,0003,000
Cook,Sex Crimes,0011,000
Wabash,Person Crimes,0004,000
Sangamon,Person Crimes,0008,000
Cook,Person Crimes,0012,000
Macon,Sex Crimes,0008,000
Cook,Sex Crimes,0006,000
Kankakee,Person Crimes,0006,000
Will,Property Crimes,0009,006
Lasalle,Drug Crimes,0008,000
Madison,Person Crimes,0003,000
Peoria,Person Crimes,0008,000
St. Clair,Drug Crimes,0004,000
Stephenson,Drug Crimes,0005,000
Kane,Property Crimes,0002,000
Cook,Sex Crimes,0001,000
Randolph,Person Crimes,0003,000
Winnebago,Drug Crimes,0007,000
Cook,Property Crimes,0003,000
Champaign,Property Crimes,0007,000
Clay,Drug Crimes,0005,000
Cook,Person Crimes,0000,018
Cook,Person Crimes,0004,006
Kendall,Property Crimes,0000,018
Macoupin,Property Crimes,0003,000
Cook,Property Crimes,0000,018
Winnebago,Sex Crimes,0030,000
Cook,Property Crimes,0001,000
Peoria,Person Crimes,0005,000
Cook,Property Crimes,0014,000
Cook,Person Crimes,0003,000
Madison,Person Crimes,0005,000
Cook,Person Crimes,0007,000
Cook,Person Crimes,0003,000
Sangamon,Drug Crimes,0008,000
Cook,Person Crimes,0001,000
Vermilion,Person Crimes,0007,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0004,000
Lake,Drug Crimes,0003,000
Saline,Property Crimes,0005,000
Champaign,Sex Crimes,0005,000
Hardin,Drug Crimes,0009,006
McDonough,Sex Crimes,0005,000
Clark,Sex Crimes,0005,000
Champaign,Person Crimes,0004,000
Madison,Sex Crimes,0003,000
Cook,Person Crimes,0003,000
Champaign,Person Crimes,0003,000
Kane,Person Crimes,0004,000
Kankakee,Person Crimes,0004,000
Cook,Person Crimes,0001,000
Cook,Person Crimes,0008,000
Cook,Drug Crimes,0001,000
Cook,Person Crimes,0009,000
Cook,Person Crimes,0006,000
Cook,Property Crimes,0002,000
Cook,Property Crimes,0003,006
Monroe,Drug Crimes,0002,000
Lake,Drug Crimes,0006,000
Union,Property Crimes,0000,024
Cook,Sex Crimes,0006,000
Winnebago,Property Crimes,0004,000
Cook,Person Crimes,0006,000
Cook,Property Crimes,0003,000
Pike,Property Crimes,0005,000
Cook,Person Crimes,0010,000
Cook,Person Crimes,0003,000
Knox,Person Crimes,0004,000
Jefferson,Drug Crimes,0005,006
Peoria,Person Crimes,0003,000
Cook,Person Crimes,0000,090
Cook,Sex Crimes,0003,000
Logan,Person Crimes,0012,000
Macon,Property Crimes,0001,000
Dupage,Person Crimes,0012,000
Livingston,Drug Crimes,0006,000
Cook,Property Crimes,0001,000
Cook,Person Crimes,0002,000
McLean,Property Crimes,0002,000
Cook,Property Crimes,0013,000
Champaign,Drug Crimes,0000,018
Macon,Drug Crimes,0003,000
Cook,Person Crimes,0004,000
Champaign,Person Crimes,0008,000
Adams,Drug Crimes,0005,000
Edwards,Person Crimes,0002,000
Winnebago,Person Crimes,0003,000
Shelby,Drug Crimes,0007,000
